CODI_ENS;TIPUS_ENS;NOM;CARREC;AREA;PARTIT_POLITIC;MUNICIPI_REPRESENTA;ORDRE;DATA_NOMENAMENT
800760009;Municipis;MARIA ANTONIA VILA I PATUVÍ;Tinent/a d'Alcalde;Educació. Comunicació, Transparència i Cultura;ERC-AM;;3;15/6/2019
800760009;Municipis;M. ÀNGELS GROS I ARGELÉS ;Tinent/a d'Alcalde;Urbanisme, Habitatge, Igualtat i Sanitat;ERC-AM;;4;15/6/2019
800760009;Municipis;JORDI MAIMÍ I GIRBAL;Tinent/a d'Alcalde;Esports, Sistemes Informàtics i Comunicacions, Sostenibilitat i Medi Ambient;ERC-AM;;5;15/6/2019
800760009;Municipis;MONTSERRAT BATISTA ALSINA ;Regidor/a;Acció Social, Convivència, Salut Pública, Gent Gran i Participació;ERC-AM;;6;15/6/2019
800760009;Municipis;LLUÍS CAMPASOL TERRATS;Regidor/a;;JUNTS;;7;15/6/2019
800760009;Municipis;ABEL COLL TOLEDANO;Regidor/a;;JUNTS;;8;15/6/2019
800760009;Municipis;ROSER MORÉ COLLET;Regidor/a;;JUNTS;;9;15/6/2019
800760009;Municipis;VICTORIA VICKY DEVESA JORGE;Regidor/a;;JUNTS;;10;15/6/2019
800760009;Municipis;VANESA MUÑOZ FERNÁNDEZ;Regidor/a;;PSC-CP;;11;15/6/2019
800760009;Municipis;ANGELES CASTILLO CAMPOS;Regidor/a;;PSC-CP;;12;15/6/2019
800760009;Municipis;GUIU MUNS ROURA;Regidor/a;;CUPAMUNT;;13;15/6/2019
800820002;Municipis;GUMERSIND PARCERISAS SERRA;Alcalde/ssa;Hisenda, Governació;ERC-AM;;1;15/6/2019
800820002;Municipis;JOSEP ALBAREDA FRANQUESA;Tinent/a d'Alcalde;Obres Públiques, Urbanisme, Salut Pública;ERC-AM;;2;15/6/2019
800820002;Municipis;MARINA BERENGUER CABADO;Regidor/a;Cultura, Comunicació, Turisme;ERC-AM;;3;15/6/2019
800820002;Municipis;MARIA DESCARREGA FONT;Regidor/a;Medi Ambient, Promoció Econòmica;ERC-AM;;4;15/6/2019
800820002;Municipis;MERCÈ HERNÁNDEZ LORA;Regidor/a;Benestar Social, Consum, Festes;ERC-AM;;5;15/6/2019
800950006;Municipis;GEORGINA SABADELL I SIMÓ;Alcalde/ssa;Participació i Transparència, Recursos Humans i Joventut.;UNITAT-AxR-AM;;1;22/5/2020
800950006;Municipis;PERE ESPELT I LLEONART;Tinent/a d'Alcalde;Mobilitat, Urbanisme, Espai Públic i Habitatge.;UNITAT-AxR-AM;;2;15/6/2019
800950006;Municipis;JOAN MARIA PASCUAL I MARTÍ;Tinent/a d'Alcalde;Medi Ambient, Saluit, Benestar Animal, Serveis Socials i Cohesió.;UNITAT-AxR-AM;;3;15/6/2019
800950006;Municipis;MARÍA MONTSERRAT CERVANTES I CODINA;Tinent/a d'Alcalde;Policia, Serveis i Festes.;UNITAT-AxR-AM;;4;15/6/2019
800950006;Municipis;PERE MÓRA I JUVINYÀ;Tinent/a d'Alcalde;Obres Públiques i Pre. Aigües Argentona.;UNITAT-AxR-AM;;5;15/6/2019
800950006;Municipis;JOAQUIM PEREJOAN I HERNÁNDEZ;Regidor/a;Educació i Esports.;UNITAT-AxR-AM;;6;15/6/2019
